ID	normalized weight
0	21.359294842526083
1	15.451209065466012
2	20.12832507696842
3	20.333087023832526
4	22.75398728321451
5	22.18527325924715
6	12.568898694732706
7	20.584815337936114
8	20.930481844142154
10	21.543869416760522
12	17.78028011647356
15	6.657005987479489
16	16.00829745364867
17	20.42351169382687
18	7.636516077499179
20	21.858992525353393
21	27.386925434776842
22	19.00866102844339
24	27.507847784698573
25	24.462841950449786
26	6.630575859190948
27	21.16006727065333
28	19.575789187029834
29	18.97309889943123
30	19.506497933161047
32	23.351689869608435
33	19.382037272533907
34	22.48094241677724
35	19.77087058338465
37	19.70862547970252
38	19.973495322960673
39	17.04489043290163
40	17.224220373979417
41	20.561286693074923
42	23.58045161684551
43	20.045572193802307
45	15.464983061469578
46	15.81955202749655
48	14.974547181724251
49	17.079256303781097
51	21.93522392628906
52	21.289540480759708
53	25.849227427916517
54	8.66714297892168
55	21.116885418122134
56	17.680138654486093
57	19.321742553509576
59	17.278858378074325
60	16.73517719095931
62	12.074210694168963
63	21.400999056524416
64	20.085689649739493
65	13.878555809320941
66	22.583960023681104
67	15.730733316427594
68	13.97743460608299
69	21.00002647777775
70	21.374299265094052
71	16.61991500250796
72	24.79338781128276
73	21.82036211858326
74	16.92473352056918
75	15.640966894955389
76	17.57874248858111
77	21.529112859438346
78	20.233017472088953
79	22.450604887600676
80	15.240222945617617
81	10.795078991782475
82	19.734676060060472
84	19.441811560939055
85	27.580809466339296
87	20.64570104085923
88	17.383044452750667
89	18.55750094210493
90	21.48330997606321
91	23.719161917368023
92	22.46059587427138
94	22.483618466028364
96	12.462728173350559
97	17.669613925746205
98	15.83337141867026
99	24.27349460952286
101	21.770860630494326
102	21.06015328091318
103	21.946171517279556
104	23.043526031655002
105	30.71735828465445
106	20.872623714613365
109	19.64899763976116
110	26.068583899027136
112	18.94235879879062
113	22.46993471801149
114	17.6372272533501
115	22.783540268749665
116	19.16590553129999
117	24.46976714478554
118	18.550246567056544
119	21.14458111360228
120	22.284444502128185
121	12.515840173786644
122	17.28934045237749
123	21.167602742252654
126	24.958391049428478
127	22.61446556652806
128	14.730789412999764
